School,From,To,Team Id
Abilene Christian,1971,2025,abilene-christian
Air Force,1958,2025,air-force
Akron,1902,2025,akron
Alabama,1913,2025,alabama
Alabama A&M,2000,2025,alabama-am
Alabama State,1983,2025,alabama-state
Albany (NY),2000,2025,albany-ny
Alcorn State,1978,2025,alcorn-state
Allegheny Gators,1896,1916,allegheny
American,1967,2025,american
Amherst Lord Jeffs,1901,1902,amherst
Appalachian State,1974,2025,appalachian-state
Arizona,1905,2025,arizona
Arizona State,1912,2025,arizona-state
Arkansas,1924,2025,arkansas
Arkansas State,1971,2025,arkansas-state
Arkansas-Pine Bluff,1999,2025,arkansas-pine-bluff
Armstrong Pirates,1987,1987,armstrong
Army,1903,2025,army
Auburn,1906,2025,auburn
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Augusta Jaguars,1985,1991,augusta-state
Augustana (IL) Vikings,1902,1917,augustana-il
Austin Peay,1964,2025,austin-peay
Baker,1903,1908,baker
Baldwin-Wallace Yellow Jackets,1948,1953,baldwin-wallace
Ball State,1972,2025,ball-state
Baltimore Super Bees,1979,1983,baltimore
Baylor,1907,2025,baylor
Bellarmine,2021,2025,bellarmine
Belmont,2000,2025,belmont
Beloit Buccaneers,1911,1924,beloit
Bethune-Cookman,1981,2025,bethune-cookman
Binghamton,2002,2025,binghamton
Birmingham-Southern Panthers,1920,2006,birmingham-southern
Bloomsburg Huskies,1896,1911,bloomsburg
Boise State,1972,2025,boise-state
Boston College,1946,2025,boston-college
Boston University,1916,2025,boston-university
Bowling Green State,1916,2025,bowling-green-state
Bradley,1903,2025,bradley
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Brigham Young,1903,2025,brigham-young
Brigham Young College,1908,1908,brigham-young-college
Brooklyn Bulldogs,1934,1992,brooklyn
Brown,1901,2025,brown
Bryant,2011,2025,bryant
Bucknell,1896,2025,bucknell
Buffalo,1907,2025,buffalo
Butler,1897,2025,butler
Cal Poly,1995,2025,cal-poly
Cal State Bakersfield,2011,2025,cal-state-bakersfield
Cal State Fullerton,1975,2025,cal-state-fullerton
Cal State Los Angeles Golden Eagles,1971,1975,cal-state-los-angeles
Cal State Northridge,1991,2025,cal-state-northridge
California,1908,2025,california
California Baptist,2019,2025,california-baptist
Campbell,1978,2025,campbell
Canisius,1904,2025,canisius
Canterbury College,1931,1931,central-normal-college
Carleton College Knights,1910,1934,carleton-college
Carnegie Mellon Tartans,1933,1939,carnegie-mellon
